question_number,pipeline,correct,quote,source,paper_reference,fuzz_score,source_text_for_judge,faithfulness_score,faithfulness_reasoning
1.0,Dense RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,"REFRAG makes several novel modifications to the decoding process: Instead of using tokens from retrieved passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",100.0,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim extraction from the source text. It matches the third advantage listed in the source text: '3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.'"
2.0,Dense RAG,False,Reconstruction task is essential for the model to learn the continual pre-training task.,"2509.01092v2.pdf, Page: 5","The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",61.36363636363637,"the reconstruction task.
Reconstruction task is essential for the model to learn the continual pre-training task.Table 12 shows the
performance of the continual pre-training task with and without initialization from the reconstruction task.
The results indicate that pre-training on the reconstruction task is important for the success of continual
pre-training.
Advantages of RL-based selective compression.Figure 3 under various compression rates, achieved by varying
the number of chunks to compress (i.e., adjustingp). Notably, a compression rate of8can be obtained either
by configuringREFRAG16 to compress the appropriate number of chunks, or by employingREFRAG8
with full compression, which is natively trained at a compression rate of8. This raises a natural question:
does the former approach outperform the latter? Table 13 demonstrates thatREFRAG16 with RL-based
selective compression consistently outperformsREFRAG8 across different datasets and context lengths.
4 8 16
Compression rate",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
3.0,Dense RAG,False,"Under the context length of 16384 (i.e., mid-to-long context), REFRAG achieves 16.53× acceleration in TTFT with cache and 8.59× without cache. Both higher than CEPE (i.e., 2.01× and 1.04× acceleration respectively) while having better model performance (see table 1).","2509.01092v2.pdf, Page: 15","CEPE (Yen et al., 2024) employs cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention computations. However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",43.30218068535826,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",0.95,"The quote is an almost exact extraction from the source text. The only differences are minor formatting adjustments, such as the removal of extra spaces around numbers (e.g., '16 .53×' in the source becomes '16.53×' in the quote, and '1 .04×' becomes '1.04×') and around '16384' and 'REFRAG'. These changes do not alter the meaning or content, making it a near-verbatim extraction."
4.0,Dense RAG,True,This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.,filename: 2509.01092v2.pdf page 7,"This improvement is attributable to the limited 4k-token context window of LLAMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions. In contrast, our model, trained on the same LLAMA model without extending its effective positional encoding, maintains robust performance even with a large number of passages, owing to the benefits of our compression approach.",48.96551724137931,"accumulation across subsystems. A table summarizing the evaluation metrics for each dataset is included in
table 7.
Retrieverandretrievalcorpus.WefollowtheworkofLinetal.(2024)touseWikipediadumpsandCommonCrawl
dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words. We
use the DRAGON+ model Lin et al. (2023) as our retriever and use the implementation of Izacard et al.
(2023a) to retrieve the K-nearest neighbors as the retrieved passages for each question.
Result analysis.Table 3 shows the performance of different baselines under short and long contexts (i.e.,
varying number of retrieved passages)3. (1/# tokens) is inverse for the number of tokens in the decoder model.
This is used as a metric to gauge the latency of the model (the higher, the lower latency).LLaMAFT is
the original LLaMA-2-7B model that is fine-tuned on the same RAG dataset used to train our model. We",0.0,"The provided quote, 'This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.', is not present anywhere in the source text. The source text discusses evaluation metrics, retriever models, retrieval corpus creation, and result analysis including context length and latency metrics, but the specific sentence quoted is entirely absent."
5.0,Dense RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,"In RAG, much of the LLM context consists of concatenated passages from retrieval, with only a small subset directly relevant to the query. These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based on this observation, we argue that most computations over the RAG context during decoding are unnecessary and can be eliminated with minimal impact on performance.",46.66666666666666,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim extraction from the source text. It matches the sentence starting with 'It reduces attention computation complexity...' perfectly."
7.0,Dense RAG,True,"we achieve a compression fraction of 1−p by randomly selecting T′ := pL chunks to remain uncompressed for the decoder. This pretraining allows the model to effectively handle mixed inputs at arbitrary positions, which is essential for the subsequent RL policy learning.","2509.01092v2.pdf, Page: 15","This ""compress anywhere"" capability is further enhanced by a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice. As a result, REFRAG minimizes reliance on computationally intensive token embeddings, condensing most chunks for the query in RAG settings.",51.570247933884296,"C1, . . . , CL, we achieve a compression fraction of1−p by randomly selectingT′ := pL chunks to remain
uncompressed for the decoder. This pretraining allows the model to effectively handle mixed inputs at
arbitrary positions, which is essential for the subsequent RL policy learning.
We sequentially pickT′ chunk indicesl = {lj}T′
j=1, wherelt ∈ [L]. The input arrangement isE(x,{l j}T′
j=1) =
{E1, . . . , EL}, with Ei =e cnk
i if i /∈ {lj}T′
j=1 (compressed), and Ei = {ek∗i, . . . ,ek∗i+k−1} if i∈ {lj}T′
j=1
16",0.95,"The quote is nearly verbatim. It omits the initial phrase 'C1, . . . , CL,' and has minor spacing differences ('of1−p' vs 'of 1−p', 'selectingT′' vs 'selecting T′') compared to the source text. The core content of the two sentences is accurately extracted."
8.0,Dense RAG,True,"With longer context lengths, we are able to achieve up to k²× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to kx acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k²x for both metrics.",83.04093567251462,"token; TTIT, the time to generate each subsequent token; and Throughput, the number of tokens generated
per unit time. Theoretical analysis (section A) shows that for short context lengths, our method achieves up to
k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both
metrics. Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG
with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE
(2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared
to CEPE (table 1). We achieve up to6.78× throughput acceleration compared to LLaMA, significantly
outperforming CEPE. Withk = 32, TTFT acceleration reaches32.99× compared to LLaMA (3.75× compared
to CEPE) while maintaining similar performance to CEPE (see figure 8 and table 2). More detailed discussion",0.9,"The quote accurately conveys the core information that for longer context lengths, k²× acceleration is achieved in both TTFT and throughput. However, it is not a verbatim extraction. It rephrases 'For longer context length' to 'With longer context lengths', 'acceleration reaches' to 'we are able to achieve', and expands 'for both metrics' to 'in both TTFT and throughput'. The change from 'acceleration reaches' to 'we are able to achieve' introduces an agent ('we') not explicitly present in that specific sentence of the source, making it more than a minor stylistic change. The formatting of 'k2' to 'k²' is an accurate interpretation."
9.0,Dense RAG,True,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.","2509.01092v2.pdf, Page: 7","Under equivalent latency constraints, REFRAG consistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.",98.96907216494846,"that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged
over all 16 tasks in table 3 for both strong retriever and weak retriever setting. The result demonstrates that
under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong
retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model
enables larger context and hence enables extract more useful information when the retrieved passages are less
relevant. Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings
as the saved context can be reinvested to include additional information within the same latency budget.
Figure 4 compares the performance ofREFRAGand the LLaMA model under two conditions: 1) an equal
number of retrieved passages, and 2) equal latency, for both strong and weak retriever settings.With a strong",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
10.0,Dense RAG,True,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance.",filename: 2509.01092v2.pdf page 6,"We observe a performance regression as the compression rate increases; however, even at a compression rate of 32, our model remains competitive (as shown in table 1). In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.",100.0,"0 100 101 102
Number of Passages
50
52
54
56
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
50
52
54
56
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
0 100 101 102
Number of Passages
52
54
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
52
54
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
Figure 4RAG performance comparison under a strong retriever scenario (left) and a weak retriever scenario and a
strong retriever scenario (right).REFRAGperform similarly to LLaMA model under the same retrieved passages
(slightly better in a weaker retriever case) while outperform significantly under the same latency.
This finding is particularly surprising, asREFRAG16 achieves a compression rate of8without recomputing
chunk embeddings, yet still surpasses the performance ofREFRAG8. These results further highlight the",0.0,"The provided quote, 'In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance,' is not found anywhere in the source text. The source text mentions 'compression' in the context of 'Llama REFRAG 8 × compression' and 'REFRAG16 achieves a compression rate of 8', but it does not discuss a compression rate of 64 or the concept of it being 'overly aggressive' or leading to 'diminished performance'."
11.0,Dense RAG,True,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks.","2509.01092v2.pdf, Page: 0","These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to
block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based
on this observation, we argue that most computations over the RAG context during decoding are
unnecessary and can be eliminated with minimal impact on performance.",100.0,"require specialized consideration. In RAG, much of the LLM context consists of concatenated
passages from retrieval, with only a small subset directly relevant to the query. These passages
often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to
block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based
on this observation, we argue that most computations over the RAG context during decoding are
unnecessary and can be eliminated with minimal impact on performance. To this end, we propose
REFRAG, an efficient decoding framework that compresses, senses, and expands to improve latency
in RAG applications. By exploiting this attention sparsity structure, we demonstrate a30.85× the
time-to-first-token acceleration (3.75× improvement to previous work) without loss in perplexity. In
addition, our optimization framework for large context enablesREFRAGto extend the context size",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
12.0,Dense RAG,False,"attention, reducing attention complexity from quadratic to linear; however, this method does not address memory requirements.",filename: 2509.01092v2.pdf page 9,"This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency;
2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces
attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens
in the context.",52.8,"attention, reducing attention complexity from quadratic to linear; however, this method does not address
memory requirements. It is complementary to our approach and can be integrated to further improve latency.
StreamingLLM(Xiao et al., 2024) proposed attention sinks to decrease KV cache memory for long-context
generation, though this does not reduce latency during the pre-filling stage. CEPE (Yen et al., 2024) employs
cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention
computations. However, CEPE is limited to prefix context applications, as it disrupts the causal structure of
the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE
does not utilize token compression, resulting in similar or even increased decoding latency. Concurrently with
our work, Dai et al. (2025) proposed PCC, an embedding-based memory mechanism that summarizes past",1.0,"The quote is an exact, verbatim extraction from the beginning of the source text."
13.0,Dense RAG,True,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k²× for both metrics.",filename: 2509.01092v2.pdf page 2,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for
both metrics.",96.33802816901408,"token; TTIT, the time to generate each subsequent token; and Throughput, the number of tokens generated
per unit time. Theoretical analysis (section A) shows that for short context lengths, our method achieves up to
k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both
metrics. Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG
with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE
(2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared
to CEPE (table 1). We achieve up to6.78× throughput acceleration compared to LLaMA, significantly
outperforming CEPE. Withk = 32, TTFT acceleration reaches32.99× compared to LLaMA (3.75× compared
to CEPE) while maintaining similar performance to CEPE (see figure 8 and table 2). More detailed discussion",0.98,"The quote is nearly an exact sentence from the source text. The only difference is the representation of 'k²×' in the quote versus 'k2×' in the source. This is a minor formatting difference (superscript vs. plain text) that does not change the meaning or content, making it a near-verbatim extraction."
14.0,Dense RAG,True,"chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.","Source Reference: 2509.01092v2.pdf, Page: 3","Selective compression REFRAG introduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as a
negative reward, determines which chunks to retain in their original form. The policy network leverages chunk
embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property.",83.61204013377926,"chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s
autoregressive property and enabling flexible placement of compression. Further discussion on sequential
selection is provided in section A.1.
4",1.0,"The quote is an exact, verbatim extraction of the first sentence from the provided source text. No words are missing, added, or altered."
15.0,Dense RAG,True,"In this task, we freeze the decoder model and only train the encoder and projection layer. [...] The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",filename: 2509.01092v2.pdf page 3,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder. In this task,
we freeze the decoder model and only train the encoder and projection layer. … The reconstruction task was specifically chosen to
encourage the model to rely on context memory rather than its parametric memory during training.",98.5645933014354,"minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the
decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.
The reconstruction task was specifically chosen to encourage the model to rely on context memory rather
than its parametric memory during training. Once the encoder is aligned with the decoder through this
reconstruction task, we initiate CPT byunfreezing the decoder.
Curriculum learning.The training tasks described in the previous section may seem straightforward, but they
are inherently complex. As the chunk lengthk increases, the number of possible token combinations expands
exponentially, specifically at a rate ofV k, whereV is the vocabulary size. Effectively capturing this diversity
within a fixed-length embedding presents a significant challenge. Additionally, reconstructings = k×L tokens
fromLchunk embeddings further compounds the difficulty of the task.",0.6,"The second sentence of the quote, 'The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training,' is a verbatim extraction from the source text. However, the first sentence, 'In this task, we freeze the decoder model and only train the encoder and projection layer,' is not present as a verbatim or near-verbatim extraction in the provided source text. While the source text implies this state (by mentioning 'unfreezing the decoder' after the reconstruction task), the specific statement itself is not an extraction."
16.0,Dense RAG,True,"To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting towards those dominated by more difficult tasks (i.e.,L chunk embeddings).",filename: 2509.01092v2.pdf page 3,"As the chunk length k increases, the number of possible token combinations expands exponentially, specifically at a rate of V k, where V is the
vocabulary size. … For the reconstruction task, training begins with reconstructing a single chunk … Subsequently, the model reconstructs x1:2k …
To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks and gradually shifting
towards those dominated by more difficult tasks.",90.64748201438849,"1 . Subsequently, the model reconstructs
x1:2k frome cnk
1 , ecnk
2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over
time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting
towards those dominated by more difficult tasks (i.e.,L chunk embeddings). A visualization of the data
mixture during curriculum learning is provided in figure 6, and the detailed scheduling is presented in table 8.
Selective compressionREFRAGintroduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as
a negative reward, determines which chunks to retain in their original form. The encoder and decoder are
fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages
chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text. There are no alterations, additions, or omissions of content."
17.0,Dense RAG,True,Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,"2509.01092v2.pdf, Page: 5","Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.
This finding is particularly surprising, as REFRAG16 achieves a compression rate of 8 without recomputing chunk embeddings, yet still surpasses the
performance of REFRAG8.",100.0,"REFRAGRL uses RL-based selective compression.LLaMAK: LLaMA-2-7B evaluated onxs+1:s+o with the
truncated sequencex s−K:T as input to match the token count ofREFRAG.
Table 1 reports performance fors = 2048and o∈ {512, 1024, 2048}, where, e.g., P512 denoteso = 512.
Bolded results compare baselines, excludingLLaMA-Full Contextand LLaMA-32K, which use full
context without compression and are expected to perform best. Notably,REFRAG8 and REFRAG16
consistently outperform other baselines across nearly all settings, while also achieving lower latency than
CEPE (figure 2). For reference,LLaMA256 uses only the last 256 tokens, matching the number of chunk
embeddings inREFRAG8 (s/k = 256), yetREFRAG8 consistently surpassesLLaMA256, demonstrating
the effectiveness of compressed chunk embeddings.
Table 2 evaluateso = 2048with extended context lengthss∈ {4096, 8192, 16384}. Although our model is
trained ons + o = 6144, bothREFRAG8 and REFRAG16 maintain superior performance at longer contexts.",0.1,"The quote contains several significant inaccuracies and misrepresentations of the source text. 
1. The source text mentions 'Table 1' and 'Table 2', but 'Table 13' is not present, indicating a hallucination of the table number.
2. The source states 'REFRAG8 and REFRAG16 consistently outperform other baselines'. It does NOT state that 'REFRAG16 consistently outperforms REFRAG8'. In fact, it groups them together as high-performing models against *other* baselines.
3. While 'RL-based selective compression' is mentioned in relation to REFRAGRL, and context lengths are discussed, the specific claim that REFRAG16 outperforms REFRAG8 across different datasets and context lengths is not supported by the provided text. The text states 'both REFRAG8 and REFRAG16 maintain superior performance at longer contexts' (against other models, not against each other).

Due to these major discrepancies and factual errors, the quote is largely unsupported and misleading."
18.0,Dense RAG,True,"our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.",filename: 2509.01092v2.pdf page 4,"CEPE … is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG
or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",44.14414414414415,"the KV cache to reduce memory requirements for long-context applications. However, this approach only
decreases KV cache memory usage, does not improve time-to-first-token latency, and requires training the
model from scratch. Yoshida et al. (2021) extended this idea by employing recursive context compression,
generating a summary hidden state for each chunk to inform the next chunk’s computation. The recursive
nature, however, prevents pre-computation and reuse of chunk embeddings, and does not reduce decoding
latency. Chevalier et al. (2023) proposed recursive compression for documents, using compressed embeddings
for prediction, similar to our method. However, their sequential compression process results in high latency
when the summary vector is not cached, and their approach only supports applications where the summary
token is restricted to the prefix of the language model (e.g., RAG), limiting applicability. In contrast, our",0.0,"The provided quote, 'our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.', is not present in the 'Source Text'. The 'Source Text' ends with 'In contrast, our', suggesting the quote might be a continuation of that sentence, but the actual content of the quote is entirely missing from the given source."
19.0,Dense RAG,True,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7","With a weak retriever setting, at 10 passages, REFRAG improves performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA. At equal latency
(8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.",100.0,"that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged
over all 16 tasks in table 3 for both strong retriever and weak retriever setting. The result demonstrates that
under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong
retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model
enables larger context and hence enables extract more useful information when the retrieved passages are less
relevant. Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings
as the saved context can be reinvested to include additional information within the same latency budget.
Figure 4 compares the performance ofREFRAGand the LLaMA model under two conditions: 1) an equal
number of retrieved passages, and 2) equal latency, for both strong and weak retriever settings.With a strong",0.0,"The quote is not present in the source text. While the source text discusses REFRAG outperforming LLaMA under equal latency constraints and mentions Figure 4 comparing their performance under these conditions, it does not provide the specific details about '8 passages for REFRAG vs. 1 for LLaMA', '1.93% average gain', or '16 RAG tasks'. These specific numerical claims are entirely absent from the provided source text."
20.0,Dense RAG,True,"However, due to the compression, we are able to have more context information and hence achieve better performance.","2509.01092v2.pdf, Page: 7","By exploiting this attention sparsity structure, we demonstrate a 30.85× the time-to-first-token acceleration … In addition, our optimization framework for
large context enables REFRAG to extend the context size of LLMs by 16×. We provide rigorous validation of REFRAG across diverse long-context tasks.",46.08695652173913,"the original LLaMA-2-7B model that is fine-tuned on the same RAG dataset used to train our model. We
compare the performance under both the short context and the long context scenarios. For the short context,
we use 1 passage forLLaMAFT and use 8 passages for all our models. The baseline ofREFRAG8 will
have the same latency as theLLaMAFT model. However, due to the compression, we are able to have more
context information and hence achieve better performance. Surprisingly,REFRAG16 and REFRAG32 both
outperform theLLaMAFT model despite having2× and4 × fewer tokens in the decoder (i.e., lower latency).
The same result occurs in long context scenarios. Our model has even higher performance gains in multi-choice
tasks. Table 15 shows the performance of our model under different numbers of passages. The result suggests
that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
21.0,Dense RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,"Instead of using tokens from retrieved
passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context.",100.0,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text. It perfectly matches the third advantage listed in the source."
22.0,Dense RAG,True,"For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for both
metrics.",97.2972972972973,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",0.95,"The quote accurately conveys the information from the source text regarding acceleration for longer context lengths. The source states: 'With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.' The quote rephrases 'With longer context lengths, we are able to achieve' to 'For longer context length, acceleration reaches' and generalizes 'in both TTFT and throughput' to 'for both metrics'. Despite these minor rephrasing and generalization, the core meaning and numerical value are preserved, making it a near-verbatim extraction."
